,Full_County
978,gallia-county-oh
979,galveston-county-tx
980,garden-county-ne
981,garfield-county-co
982,garfield-county-ne
983,garfield-county-ok
984,garfield-county-wa
985,garland-county-ar
986,garrard-county-ky
987,garrett-county-md
988,garvin-county-ok
989,garza-county-tx
990,gasconade-county-mo
991,gaston-county-nc
992,gates-county-nc
993,geary-county-ks
994,geauga-county-oh
995,gem-county-id
996,genesee-county-mi
997,genesee-county-ny
998,geneva-county-al
999,gentry-county-mo
1000,george-county-ms
1001,georgetown-county-sc
1002,gibson-county-in
1003,gibson-county-tn
1004,gila-county-az
1005,gilchrist-county-fl
1006,giles-county-tn
1007,giles-county-va
1008,gillespie-county-tx
1009,gilliam-county-or
1010,gilmer-county-ga
1011,gilmer-county-wv
1012,gilpin-county-co
1013,glacier-county-mt
1014,glades-county-fl
1015,gladwin-county-mi
1016,glascock-county-ga
1017,glasscock-county-tx
1018,glenn-county-ca
1019,gloucester-county-nj
1020,gloucester-county-va
1021,glynn-county-ga
1022,gogebic-county-mi
1023,golden-valley-county-mt
1024,goliad-county-tx
1025,gonzales-county-tx
1026,goochland-county-va
1027,goodhue-county-mn
1028,gooding-county-id
1029,gordon-county-ga
1030,goshen-county-wy
1031,gosper-county-ne
1032,gove-county-ks
1033,grady-county-ga
1034,grady-county-ok
1035,grafton-county-nh
1036,graham-county-az
1037,graham-county-nc
1038,grainger-county-tn
1039,grand-county-co
1040,grand-forks-county-nd
1041,grand-isle-county-vt
1042,grand-traverse-county-mi
1043,granite-county-mt
1044,grant-county-ar
1045,grant-county-in
1046,grant-county-ks
1047,grant-county-ky
1048,grant-county-la
1049,grant-county-mn
1050,grant-county-ne
1051,grant-county-nm
1052,grant-county-nd
1053,grant-county-ok
1054,grant-county-or
1055,grant-county-sd
1056,grant-county-wa
1057,grant-county-wv
1058,grant-county-wi
1059,granville-county-nc
1060,gratiot-county-mi
1061,graves-county-ky
1062,gray-county-ks
1063,gray-county-tx
1064,grays-harbor-county-wa
1065,grayson-county-ky
1066,grayson-county-tx
1067,grayson-county-va
1068,greeley-county-ne
1069,green-county-ky
1070,green-county-wi
1071,green-lake-county-wi
1072,greenbrier-county-wv
1073,greene-county-al
1074,greene-county-ar
1075,greene-county-ga
1076,greene-county-il
1077,greene-county-in
1078,greene-county-ia
1079,greene-county-ms
1080,greene-county-mo
1081,greene-county-ny
1082,greene-county-nc
1083,greene-county-oh
1084,greene-county-pa
1085,greene-county-tn
1086,greene-county-va
1087,greenlee-county-az
1088,greensville-county-va
1089,greenup-county-ky
1090,greenville-county-sc
1091,greenwood-county-ks
1092,greenwood-county-sc
1093,greer-county-ok
1094,gregg-county-tx
1095,gregory-county-sd
1096,grenada-county-ms
1097,griggs-county-nd
1098,grimes-county-tx
1099,grundy-county-il
1100,grundy-county-ia
1101,grundy-county-mo
1102,grundy-county-tn
1103,guadalupe-county-nm
1104,guadalupe-county-tx
1105,guernsey-county-oh
1106,guilford-county-nc
1107,gulf-county-fl
1108,gunnison-county-co
1109,guthrie-county-ia
1110,gwinnett-county-ga
1111,habersham-county-ga
1112,haines-county-ak
1113,hale-county-al
1114,hale-county-tx
1115,halifax-county-nc
1116,halifax-county-va
1117,hall-county-ga
1118,hall-county-ne
1119,hall-county-tx
1120,hamblen-county-tn
1121,hamilton-county-fl
1122,hamilton-county-il
1123,hamilton-county-in
1124,hamilton-county-ia
1125,hamilton-county-ks
1126,hamilton-county-ne
1127,hamilton-county-ny
1128,hamilton-county-oh
1129,hamilton-county-tn
1130,hamilton-county-tx
1131,hamlin-county-sd
1132,hampden-county-ma
1133,hampshire-county-ma
1134,hampshire-county-wv
1135,hampton-county-sc
1136,hampton-county-va
1137,hancock-county-ga
1138,hancock-county-il
1139,hancock-county-in
1140,hancock-county-ia
1141,hancock-county-ky
1142,hancock-county-me
